artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id,moma_count_to_year,whitney_count_to_year,artist_race_nwi
Aaron Douglas,9,1991,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.353365775,2,0,0,Non-White
Aaron Douglas,10,1996,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.373947,2,0,0,Non-White
Aaron Douglas,11,2001,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.303259329,2,0,0,Non-White
Aaron Douglas,12,2005,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.377048931,2,0,0,Non-White
Aaron Douglas,13,2009,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.39840969,2,0,0,Non-White
Aaron Douglas,14,2013,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.452868568,2,0,0,Non-White
Aaron Douglas,15,2016,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.482263801,2,0,0,Non-White
Aaron Douglas,16,2020,American,American,Male,Black or African American,Not Hispanic or Latino origin,Gardner,0.543737727,2,0,0,Non-White
AdÃ©laÃ¯de Labille-Guiard,14,2013,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.409304548,4,0,0,White
AdÃ©laÃ¯de Labille-Guiard,15,2016,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.412556054,4,0,0,White
AdÃ©laÃ¯de Labille-Guiard,16,2020,French,French,Female,White,Not Hispanic or Latino origin,Gardner,0.534486991,4,0,0,White
Adolphe William Bouguereau,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.295753902,6,0,0,White
Adolphe William Bouguereau,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.298045081,6,0,0,White
Adolphe William Bouguereau,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.400541796,6,0,0,White
Adolphe William Bouguereau,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.531999447,6,0,0,White
Adolphe William Bouguereau,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.352311436,6,0,0,White
Adolphe William Bouguereau,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.389822994,6,0,0,White
Adolphe William Bouguereau,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.218218588,6,0,0,White
Adolphe William Bouguereau,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.271416842,6,0,0,White
Adolphe William Bouguereau,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.293791318,6,0,0,White
Albert Bierstadt,11,2001,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.456128956,7,2,0,White
Albert Bierstadt,12,2005,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.45725755,7,2,0,White
Albert Bierstadt,13,2009,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.367528085,7,2,0,White
Albert Bierstadt,14,2013,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.373846178,7,2,0,White
Albert Bierstadt,15,2016,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.505767744,7,2,0,White
Albert Bierstadt,16,2020,German-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.406357388,7,2,0,White
Albert Pinkham Ryder,2,1936,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.351863451,8,1,0,White
Albert Pinkham Ryder,3,1948,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.468506723,8,1,0,White
Albert Pinkham Ryder,4,1959,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.314570428,8,1,0,White
Albert Pinkham Ryder,7,1980,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.46520546,8,1,0,White
Albert Pinkham Ryder,8,1986,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.476225033,8,1,0,White
Albert Pinkham Ryder,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.369505272,8,1,0,White
Albert Pinkham Ryder,10,1996,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.461188227,8,1,0,White
Alexander Gardner,10,1996,Scottish,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.347907643,12,0,0,White
Alexandre Cabanel,4,1959,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.501885268,14,0,0,White
Alfred Stieglitz,4,1959,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.414678158,15,2,0,White
Alfred Stieglitz,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.478248175,15,3,0,White
Alfred Stieglitz,10,1996,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.550629242,15,4,0,White
Alfred Stieglitz,11,2001,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.512502952,15,4,0,White
Alfred Stieglitz,12,2005,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.508515038,15,4,0,White
Alfred Stieglitz,13,2009,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.502134283,15,4,1,White
Alfred Stieglitz,14,2013,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.490129906,15,4,1,White
Alfred Stieglitz,15,2016,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.499335086,15,4,1,White
Alfred Stieglitz,16,2020,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.487297496,15,4,2,White
Alfredo Guido,3,1948,Argentine,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.305623605,16,0,0,White
Alvin Langdon Coburn,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.321557178,17,3,0,White
Ana Mendieta,11,2001,Cuban-American,Other,Female,White,Hispanic or Latino origin,Gardner,0.379959849,18,1,0,White
Ana Mendieta,13,2009,Cuban-American,Other,Female,White,Hispanic or Latino origin,Gardner,0.38981092,18,1,2,White
Ana Mendieta,14,2013,Cuban-American,Other,Female,White,Hispanic or Latino origin,Gardner,0.382645278,18,1,2,White
Ana Mendieta,15,2016,Cuban-American,Other,Female,White,Hispanic or Latino origin,Gardner,0.426782125,18,1,2,White
Ana Mendieta,16,2020,Cuban-American,Other,Female,White,Hispanic or Latino origin,Gardner,0.424475331,18,1,3,White
Ando Hiroshige,14,2013,Japanese,Other,Male,Asian,Not Hispanic or Latino origin,Gardner,0.590757092,19,0,0,Non-White
Ando Hiroshige,15,2016,Japanese,Other,Male,Asian,Not Hispanic or Latino origin,Gardner,0.852512757,19,0,0,Non-White
Ando Hiroshige,16,2020,Japanese,Other,Male,Asian,Not Hispanic or Latino origin,Gardner,0.57063083,19,0,0,Non-White
AndrÃ© Derain,4,1959,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.581335847,20,8,0,White
AndrÃ© Derain,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.778094501,20,11,0,White
AndrÃ© Derain,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.742313855,20,12,0,White
AndrÃ© Derain,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.652617506,20,13,0,White
AndrÃ© Derain,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.633112171,20,14,0,White
AndrÃ© Derain,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.329051095,20,14,0,White
AndrÃ© Derain,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.492820845,20,14,0,White
AndrÃ© Derain,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.338347308,20,15,0,White
AndrÃ© Derain,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.240397774,20,16,0,White
AndrÃ© Derain,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.287504045,20,16,0,White
AndrÃ© Derain,14,2013,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.304655356,20,16,0,White
AndrÃ© Derain,15,2016,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.566027524,20,16,0,White
AndrÃ© Derain,16,2020,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.539135371,20,16,0,White
AndrÃ©-Adolphe-EugÃ¨ne DisdÃ©ri,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.413219789,23,0,0,White
Andreas Gursky,14,2013,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.505616939,24,2,0,White
Andreas Gursky,15,2016,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.402721509,24,2,0,White
Andreas Gursky,16,2020,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.378144944,24,2,0,White
Andrew Wyeth,5,1970,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.439763058,25,0,19,White
Andrew Wyeth,6,1975,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.431043692,25,0,19,White
Andrew Wyeth,7,1980,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.342052491,25,0,19,White
Andrew Wyeth,8,1986,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.484760523,25,0,19,White
Andy Warhol,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.528661801,26,2,2,White
Andy Warhol,10,1996,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.650318884,26,4,2,White
Andy Warhol,11,2001,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.797812352,26,5,2,White
Andy Warhol,12,2005,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.668111182,26,6,6,White
Andy Warhol,13,2009,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.657636417,26,6,9,White
Andy Warhol,14,2013,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.409874717,26,7,12,White
Andy Warhol,15,2016,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.417566105,26,8,13,White
Andy Warhol,16,2020,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.417403044,26,8,15,White
Angelica Kauffmann,8,1986,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.479490635,27,0,0,White
Angelica Kauffmann,9,1991,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.460729927,27,0,0,White
Angelica Kauffmann,10,1996,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.458118755,27,0,0,White
Angelica Kauffmann,11,2001,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.393540387,27,0,0,White
Angelica Kauffmann,12,2005,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.355518049,27,0,0,White
Angelica Kauffmann,13,2009,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.384771855,27,0,0,White
Angelica Kauffmann,14,2013,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.364476908,27,0,0,White
Angelica Kauffmann,15,2016,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.567898562,27,0,0,White
Angelica Kauffmann,16,2020,Swiss,Other,Female,White,Not Hispanic or Latino origin,Gardner,0.764037187,27,0,0,White
Anne Louis Girodet Trioson,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.413398468,28,0,0,White
Anne Louis Girodet Trioson,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.447345369,28,0,0,White
Anne Louis Girodet Trioson,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.379819871,28,0,0,White
Anne Louis Girodet Trioson,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.383786025,28,0,0,White
Anne Louis Girodet Trioson,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.253706407,28,0,0,White
Anne Louis Girodet Trioson,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.267385151,28,0,0,White
Anne Louis Girodet Trioson,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.267329948,28,0,0,White
Anne Louis Girodet Trioson,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.268254113,28,0,0,White
Anne Louis Girodet Trioson,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.388562711,28,0,0,White
Anne Louis Girodet Trioson,14,2013,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.445101937,28,0,0,White
Anne Louis Girodet Trioson,15,2016,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.379619607,28,0,0,White
Anne Louis Girodet Trioson,16,2020,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.377117084,28,0,0,White
Ansel Adams,9,1991,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.474160584,30,28,0,White
Anselm Feuerbach,7,1980,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.327258655,31,0,0,White
Anselm Feuerbach,8,1986,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.285748842,31,0,0,White
Anselm Feuerbach,10,1996,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.311551448,31,0,0,White
Anselm Kiefer,9,1991,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.430559611,32,2,0,White
Anselm Kiefer,10,1996,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.450547389,32,2,0,White
Anselm Kiefer,11,2001,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.514584317,32,2,0,White
Anselm Kiefer,12,2005,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.383085485,32,2,0,White
Anselm Kiefer,13,2009,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.400859877,32,2,0,White
Anselm Kiefer,14,2013,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.417225279,32,2,0,White
Anselm Kiefer,15,2016,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.365068811,32,2,0,White
Anselm Kiefer,16,2020,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.358293446,32,2,0,White
Antoine Jean Gros,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.738038975,33,0,0,White
Antoine Jean Gros,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.74987715,33,0,0,White
Antoine Jean Gros,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.61949409,33,0,0,White
Antoine Jean Gros,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.643928399,33,0,0,White
Antoine Jean Gros,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.367526359,33,0,0,White
Antoine Jean Gros,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.413099826,33,0,0,White
Antoine Jean Gros,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.470004724,33,0,0,White
Antoine Jean Gros,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.445640605,33,0,0,White
Antoine Jean Gros,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.506711047,33,0,0,White
Antoine Jean Gros,14,2013,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.729262016,33,0,0,White
Antoine Jean Gros,15,2016,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.672800371,33,0,0,White
Antoine Jean Gros,16,2020,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.539534242,33,0,0,White
Arnold BÃ¶cklin,7,1980,Swiss,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.423585702,36,0,0,White
Arshile Gorky,14,2013,Armenian-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.36287427,37,9,13,White
Arshile Gorky,15,2016,Armenian-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.445894542,37,9,14,White
Arshile Gorky,16,2020,Armenian-American,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.434738586,37,9,16,White
Arthur B. Davies,1,1926,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.397360126,38,0,0,White
Arthur Dove,14,2013,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.437982525,39,3,9,White
Arthur Dove,15,2016,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.312355033,39,3,11,White
Arthur Dove,16,2020,American,American,Male,White,Not Hispanic or Latino origin,Gardner,0.379694404,39,3,11,White
Aubrey Beardsley,8,1986,British,British,Male,White,Not Hispanic or Latino origin,Gardner,0.426428917,40,2,0,White
Aubrey Beardsley,10,1996,British,British,Male,White,Not Hispanic or Latino origin,Gardner,0.318201971,40,2,0,White
Aubrey Beardsley,11,2001,British,British,Male,White,Not Hispanic or Latino origin,Gardner,0.215753425,40,2,0,White
Aubrey Beardsley,12,2005,British,British,Male,White,Not Hispanic or Latino origin,Gardner,0.214411702,40,2,0,White
Aubrey Beardsley,13,2009,British,British,Male,White,Not Hispanic or Latino origin,Gardner,0.264589401,40,2,0,White
Audrey Flack,11,2001,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.452231932,41,0,1,White
Audrey Flack,12,2005,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.361144056,41,0,1,White
Audrey Flack,13,2009,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.269428136,41,0,1,White
Audrey Flack,14,2013,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.397824111,41,0,1,White
Audrey Flack,15,2016,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.293057059,41,0,1,White
Audrey Flack,16,2020,American,American,Female,White,Not Hispanic or Latino origin,Gardner,0.293921821,41,0,2,White
August Sander,9,1991,German,German,Male,White,Not Hispanic or Latino origin,Gardner,0.411484185,42,3,0,White
Auguste Renoir,1,1926,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.543661348,43,0,0,White
Auguste Renoir,2,1936,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.748512371,43,0,0,White
Auguste Renoir,3,1948,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.670695193,43,0,0,White
Auguste Renoir,4,1959,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.64567735,43,1,0,White
Auguste Renoir,5,1970,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.891691127,43,1,0,White
Auguste Renoir,6,1975,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.887917958,43,1,0,White
Auguste Renoir,7,1980,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.575499578,43,1,0,White
Auguste Renoir,8,1986,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.594305066,43,1,0,White
Auguste Renoir,9,1991,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.357664234,43,1,0,White
Auguste Renoir,10,1996,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.602128168,43,1,0,White
Auguste Renoir,11,2001,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.467391946,43,1,0,White
Auguste Renoir,12,2005,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.475549676,43,1,0,White
Auguste Renoir,13,2009,French,French,Male,White,Not Hispanic or Latino origin,Gardner,0.414805911,43,1,0,White
